impl,profile,trace_path,N,seed,elapsed_ms,ops_total,inserts,findmins,deletemins,extractmins
linear_base,batch_then_drain,batch_then_drain_N_524288_S_505.trace,524288,505,40.5446,1572864,524288,524288,524288,0
binary_heap,batch_then_drain,batch_then_drain_N_65536_S_101.trace,65536,101,68.1621,196608,65536,65536,65536,0
binomial_queue,batch_then_drain,batch_then_drain_N_65536_S_101.trace,65536,101,217.971,196608,65536,65536,65536,0
linear_base,batch_then_drain,batch_then_drain_N_65536_S_101.trace,65536,101,7.2301,196608,65536,65536,65536,0
binary_heap,batch_then_drain,batch_then_drain_N_65536_S_202.trace,65536,202,66.7132,196608,65536,65536,65536,0
binomial_queue,batch_then_drain,batch_then_drain_N_65536_S_202.trace,65536,202,221.801,196608,65536,65536,65536,0
linear_base,batch_then_drain,batch_then_drain_N_65536_S_202.trace,65536,202,5.1204,196608,65536,65536,65536,0
binary_heap,batch_then_drain,batch_then_drain_N_65536_S_303.trace,65536,303,68.6365,196608,65536,65536,65536,0
binomial_queue,batch_then_drain,batch_then_drain_N_65536_S_303.trace,65536,303,220.102,196608,65536,65536,65536,0
linear_base,batch_then_drain,batch_then_drain_N_65536_S_303.trace,65536,303,5.5963,196608,65536,65536,65536,0
binary_heap,batch_then_drain,batch_then_drain_N_65536_S_404.trace,65536,404,72.1107,196608,65536,65536,65536,0
binomial_queue,batch_then_drain,batch_then_drain_N_65536_S_404.trace,65536,404,223.536,196608,65536,65536,65536,0
linear_base,batch_then_drain,batch_then_drain_N_65536_S_404.trace,65536,404,5.3059,196608,65536,65536,65536,0
binary_heap,batch_then_drain,batch_then_drain_N_65536_S_505.trace,65536,505,74.1251,196608,65536,65536,65536,0
binomial_queue,batch_then_drain,batch_then_drain_N_65536_S_505.trace,65536,505,218,196608,65536,65536,65536,0
linear_base,batch_then_drain,batch_then_drain_N_65536_S_505.trace,65536,505,8.5137,196608,65536,65536,65536,0
quadratic_oracle,batch_then_drain,batch_then_drain_N_8192_S_101.trace,8192,101,800.962,24576,8192,8192,8192,0
binary_heap,batch_then_drain,batch_then_drain_N_8192_S_101.trace,8192,101,7.3266,24576,8192,8192,8192,0
binomial_queue,batch_then_drain,batch_then_drain_N_8192_S_101.trace,8192,101,21.6899,24576,8192,8192,8192,0
linear_base,batch_then_drain,batch_then_drain_N_8192_S_101.trace,8192,101,0.8397,24576,8192,8192,8192,0
quadratic_oracle,batch_then_drain,batch_then_drain_N_8192_S_202.trace,8192,202,808.901,24576,8192,8192,8192,0
binary_heap,batch_then_drain,batch_then_drain_N_8192_S_202.trace,8192,202,7.1656,24576,8192,8192,8192,0
binomial_queue,batch_then_drain,batch_then_drain_N_8192_S_202.trace,8192,202,21.7244,24576,8192,8192,8192,0
linear_base,batch_then_drain,batch_then_drain_N_8192_S_202.trace,8192,202,0.863,24576,8192,8192,8192,0
quadratic_oracle,batch_then_drain,batch_then_drain_N_8192_S_303.trace,8192,303,808.104,24576,8192,8192,8192,0
binary_heap,batch_then_drain,batch_then_drain_N_8192_S_303.trace,8192,303,6.8577,24576,8192,8192,8192,0
binomial_queue,batch_then_drain,batch_then_drain_N_8192_S_303.trace,8192,303,21.7454,24576,8192,8192,8192,0
linear_base,batch_then_drain,batch_then_drain_N_8192_S_303.trace,8192,303,0.8166,24576,8192,8192,8192,0
quadratic_oracle,batch_then_drain,batch_then_drain_N_8192_S_404.trace,8192,404,815.79,24576,8192,8192,8192,0
binary_heap,batch_then_drain,batch_then_drain_N_8192_S_404.trace,8192,404,6.9016,24576,8192,8192,8192,0
binomial_queue,batch_then_drain,batch_then_drain_N_8192_S_404.trace,8192,404,23.9327,24576,8192,8192,8192,0
linear_base,batch_then_drain,batch_then_drain_N_8192_S_404.trace,8192,404,0.8553,24576,8192,8192,8192,0
quadratic_oracle,batch_then_drain,batch_then_drain_N_8192_S_505.trace,8192,505,801.757,24576,8192,8192,8192,0
binary_heap,batch_then_drain,batch_then_drain_N_8192_S_505.trace,8192,505,6.9002,24576,8192,8192,8192,0
binomial_queue,batch_then_drain,batch_then_drain_N_8192_S_505.trace,8192,505,21.2126,24576,8192,8192,8192,0
linear_base,batch_then_drain,batch_then_drain_N_8192_S_505.trace,8192,505,0.6864,24576,8192,8192,8192,0
